vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
left_1359,2311.0,306.66720674175303,-1.0,0.0,0,2353.0,18,-1,-1.0
left_1370,2311.0,490.79870674349365,-1.0,0.0,0,2361.0,22,-1,-1.0
left_1394,2366.0,383.67914548013357,-1.0,0.0,0,2391.0,5,-1,-1.0
left_1400,2366.0,476.33601452243437,1.0010304102668783,0.0,0,2497.0,7,0,91.0
left_1413,2421.0,103.14361795145705,31.00518456766139,69.0,1,2511.0,4,4,66.0
left_1456,2476.0,492.6994053953997,143.5206592503623,14.0,1,2543.0,19,14,3.0
left_1490,2531.0,351.22731238361445,-1.0,0.0,0,2556.0,13,-1,-1.0
left_1520,2586.0,113.21706314062784,1.0010633349375553,0.0,0,2689.0,1,0,91.0
left_1538,2641.0,178.05534297639568,53.50852546342156,41.0,1,2710.0,7,7,41.0
left_1541,2641.0,248.90069540105756,61.00962196312054,41.0,1,2712.0,8,8,39.0
left_1571,2696.0,121.02687117528096,121.01792573014177,0.0,0,2728.0,14,13,7.0
left_1588,2696.0,436.8618372305297,-1.0,0.0,0,2737.0,19,-1,-1.0
left_1638,2751.0,488.01832619998606,1.0011044280035435,0.0,0,2881.0,6,0,12.0
left_1644,2806.0,8.502149393048741,8.502149393048741,68.0,1,2886.0,1,1,4.0
left_1664,2806.0,474.94704765621566,53.50813569092521,68.0,1,2902.0,7,7,43.0
left_1728,2916.0,156.36080890406004,-1.0,0.0,0,2934.0,9,-1,-1.0
left_1761,2971.0,81.74615009329209,1.001116531681646,95.0,0,3073.0,1,0,1.0
left_1763,2971.0,187.70304860369697,8.502054531942008,95.0,0,3078.0,2,1,86.0
left_1780,3026.0,53.508356503069365,53.508356503069365,40.0,1,3094.0,7,7,53.0
left_1813,3081.0,121.01775795801106,121.01775795801106,0.0,0,3112.0,14,14,8.0
left_1863,3136.0,489.7122141622008,1.0010731857368569,0.0,0,3265.0,6,0,86.0
left_1865,3191.0,8.502135267000313,8.502135267000313,67.0,1,3270.0,1,1,75.0
left_1971,3356.0,20.304874851665765,1.0010516781927097,94.0,0,3457.0,0,0,93.0
left_1976,3356.0,91.02548933019851,8.50206294717583,94.0,0,3462.0,1,1,91.0
left_1989,3411.0,53.5082008548809,53.5082008548809,39.0,1,3478.0,7,7,53.0
left_1993,3411.0,61.00928234281457,61.00928234281457,39.0,1,3480.0,8,8,54.0
left_1994,3411.0,80.56739726556391,68.51029239046215,39.0,1,3482.0,9,9,47.0
left_2002,3411.0,397.73650739695887,91.01344392658251,39.0,1,3489.0,12,12,30.0
left_2009,3411.0,456.3503908648156,98.51452607840766,39.0,1,3491.0,13,13,25.0
left_2091,3521.0,424.5122962812893,1.0010223254288348,0.0,0,3649.0,5,0,93.0
left_2101,3521.0,466.0844546705485,8.502132519541078,0.0,0,3654.0,6,1,1.0
left_2139,3631.0,385.2059563129208,143.5211080685926,11.0,1,3694.0,19,18,14.0
