vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
right_1422,2366.0,493.3791010756977,8.502088039260798,0.0,0,2502.0,7,1,87.0
right_1424,2421.0,16.00314459144022,16.00314459144022,69.0,1,2505.0,2,2,78.0
right_1426,2421.0,23.50421878289029,23.50421878289029,69.0,1,2508.0,3,3,79.0
right_1459,2476.0,91.01351166441998,91.01351166441998,14.0,1,2528.0,12,12,5.0
right_1534,2586.0,96.52772333323952,1.0010437659796023,0.0,0,2689.0,1,0,90.0
right_1539,2586.0,310.1926722156815,16.003224603175966,0.0,0,2698.0,3,2,13.0
right_1573,2641.0,498.00160650508735,98.51439583317108,41.0,1,2723.0,13,13,19.0
right_1626,2751.0,431.73030639179046,1.001100661439807,0.0,0,2881.0,5,0,14.0
right_1634,2751.0,491.4003081924282,16.003438110922502,0.0,0,2889.0,7,2,1.0
right_1653,2806.0,38.62167397990419,38.50607530886288,68.0,1,2897.0,5,5,73.0
right_1747,2971.0,83.23593046249765,1.0010049385280697,95.0,0,3073.0,1,0,89.0
right_1762,2971.0,341.2137936925515,23.504117551348198,95.0,0,3084.0,4,3,77.0
right_1767,2971.0,457.51048479583113,38.50618252090135,95.0,0,3089.0,6,5,70.0
right_1805,3081.0,121.01759510561449,121.01759510561449,0.0,0,3112.0,14,14,8.0
right_1834,3081.0,494.0728456729215,-1.0,0.0,0,3129.0,23,-1,-1.0
right_1864,3136.0,154.77012667254763,-1.0,0.0,0,3144.0,1,-1,-1.0
right_1870,3136.0,309.83313578953965,-1.0,0.0,0,3156.0,3,-1,-1.0
right_1882,3136.0,436.53074113860526,1.001084708786948,0.0,0,3265.0,5,0,91.0
right_1898,3191.0,365.56477453615514,61.00935223198661,67.0,1,3289.0,8,8,55.0
right_1900,3191.0,429.0426567317849,68.51037688792553,67.0,1,3291.0,9,9,50.0
right_1902,3191.0,484.5245529411361,76.01141329546091,67.0,1,3293.0,10,10,46.0
right_1920,3246.0,349.3333580988459,128.51870384950797,12.0,1,3307.0,17,16,15.0
right_1995,3356.0,12.707191842246802,1.0010947221652486,94.0,0,3457.0,0,0,92.0
right_2000,3356.0,244.8201626610011,16.003258806638538,94.0,0,3465.0,2,2,1.0
right_2021,3411.0,85.12295517707885,61.00938816239028,39.0,1,3480.0,8,8,46.0
right_2024,3411.0,239.6033522732227,68.51045229004728,39.0,1,3482.0,9,9,38.0
right_2027,3411.0,323.7478978744708,76.01153861172918,39.0,1,3484.0,10,10,35.0
right_2041,3466.0,113.5169077273053,113.5169077273053,0.0,0,3494.0,12,12,6.0
right_2088,3521.0,436.07847168324514,1.0010331238658523,0.0,0,3649.0,5,0,94.0
right_2096,3521.0,499.4597941977903,16.00309408944605,0.0,0,3658.0,7,2,81.0
right_2106,3576.0,127.58406893294297,46.00721770576331,66.0,1,3668.0,6,6,70.0
right_2111,3576.0,291.3321064575575,53.508257222918424,66.0,1,3670.0,7,7,58.0
right_2184,3686.0,328.77851889701554,-1.0,0.0,0,3709.0,11,-1,-1.0
right_2203,3741.0,6.6652495110133145,1.001026018040875,93.0,0,3841.0,0,0,92.0
right_2210,3741.0,201.6425549712771,16.003047585713606,93.0,0,3849.0,2,2,84.0
right_2234,3796.0,287.4288724203593,83.51249186948984,38.0,1,3870.0,11,11,8.0
right_2237,3796.0,371.63464803081,91.01355882888805,38.0,1,3872.0,12,12,1.0
right_2293,3906.0,34.26624060049994,-1.0,0.0,0,3908.0,0,-1,-1.0
right_2295,3906.0,142.24562192310518,-1.0,0.0,0,3916.0,1,-1,-1.0
right_2305,3906.0,419.2392317161895,1.0010180553595092,0.0,0,4033.0,5,0,94.0
right_2329,3961.0,63.84044458193938,46.007269826000424,65.0,1,4052.0,6,6,71.0
right_2363,4016.0,428.18326786831017,136.01974396607216,10.0,1,4077.0,18,14,6.0
right_2385,4071.0,172.23201611919922,-1.0,0.0,0,4090.0,10,-1,-1.0
right_2395,4071.0,442.68706052482065,-1.0,0.0,0,4100.0,14,-1,-1.0
